"Total_Weight";"Attribute"
0.9128490513974337;"ETA_Beta_ns"
0.8781126381979397;"nwHBa"
1.0;"piPC10"
0.8602087968466346;"ETA_Beta"
0.880879426925887;"C2SP2"
0.7124046569859857;"MLFER_E"
0.8496145582852447;"R_TpiPCTPC"
0.8233694925907441;"MQN17"
0.9227089656815235;"piPC8"
0.6388254577399348;"MDEC-23"
0.6165569146270082;"nRing"
0.812165504245743;"NumAromaticRings"
0.618117608279517;"SpMAD_Dt"
0.7895297607975199;"MQN31"
0.802593209391777;"piPC1"
0.7736028297339849;"SwHBa"
0.781016138166688;"ETA_Eta_F_L"
0.578897568839372;"nAtomP"
0.8248673024196571;"naAromAtom"
0.81596034414867;"smr_VSA7"
0.8621362047079411;"piPC3"
0.6129348502795899;"AATS2v"
0.7836216137000179;"piPC6"
0.772261343040257;"SP-5"
0.6084401788268643;"AATS4v"
0.6299741487557701;"slogp_VSA6"
0.5796998232402609;"AATS3v"
0.7643126481086904;"n6Ring"
0.7397870514562686;"SHother"
0.7571039868683974;"SP-4"
0.7576465319303924;"naasC"
0.7651549966580532;"SP-3"
0.822255392843376;"PubchemFP257"
0.7463503058009776;"MPC3"
0.6157284401009897;"nHother"
0.8170968894922813;"PubchemFP186"
0.7411261092880845;"nT6Ring"
0.7371767283256428;"ETA_Alpha"
0.7463029258673588;"SP-6"
0.6526400980899637;"CrippenLogP"
0.6885580784274533;"avalon_fp361"
0.533529501838168;"NumRings"
0.5726408313685449;"SP-7"
0.5855673503352149;"ATS1m"
0.7344692193346133;"MQN36"
0.7248692347875779;"CrippenMR"
0.7587256510284827;"SpMax1_Bhv"
0.8110990510749883;"ZMIC1"
0.5825038444273547;"EE_Dt"
0.7472679400890004;"PubchemFP185"
0.5693312112284513;"AATS5v"
0.7009452480206981;"MIC3"
0.7806055025124974;"NumAromaticCarbocycles"
0.6774904501718282;"ETA_Beta_ns_d"
0.7345369571026751;"avalon_fp182"
0.5530585732554756;"ETA_Epsilon_3"
0.7259047988456894;"avalon_fp215"
0.5326913685852243;"AATS6v"
0.7023787771777719;"avalon_fp3"
0.5536510428501308;"ATS2m"
0.6425111153957754;"slogp_VSA8"
0.6992457289039535;"MLFER_L"
0.7189600343331257;"MWC6"
0.578980970234581;"MIC2"
0.6958300643370487;"MIC5"
0.7724837924495709;"avalon_fp779"
0.5648365656638641;"GATS1p"
0.714886664393013;"WTPT-1"
0.5422732159603183;"GATS1v"
0.6437049740562792;"VP-3"
0.7011536744391211;"ETA_Eta_R_L"
0.7237690863062146;"AATS7v"
0.7352168726283437;"SpMax1_Bhe"
0.509867578660251;"VP-1"
0.633340582283484;"VP-2"
0.5727533161322211;"ExactMW"
0.698461589187127;"SP-1"
0.7934732282723977;"SpMax1_Bhi"
0.6793777100006934;"SMR"
0.7005794012095915;"SP-2"
0.5542671972242708;"SpMax8_Bhm"
0.7124354255227034;"ETA_Beta_s"
0.6913473550545771;"LabuteASA"
0.62859020698591;"VP-5"
0.534993082023776;"AATS6p"
0.7075994683640116;"ETA_dEpsilon_B"
0.5604796045539501;"AATS5p"
0.5842660297746604;"SlogP"
0.5960906476450242;"FMF"
0.4861922675002446;"SpMax7_Bhm"
0.5275867134493825;"AATS4p"
0.4456745981782198;"BCUTp-1h"
0.6004067793838124;"SpMax2_Bhv"
0.6826645193961435;"NumHeavyAtoms"
0.6089428303974098;"Chi3v"
0.5251324429404691;"ATS3m"
0.5529675191911594;"MQN30"
0.5876565338136635;"PubchemFP192"
0.7066644173791015;"ETA_BetaP"
0.4590383563545041;"Chi1v"
0.6882569611353059;"ETA_Eta_F"
0.6422852262734705;"MQN1"
0.7636778299308185;"SpMax2_Bhp"
0.47576770305813054;"Chi2v"
0.5097983378666318;"MPC7"
0.634560113643281;"VP-0"
0.6959855690489088;"WTPT-2"
0.6820839483785969;"SHaaCH"
0.4525564395235817;"MQN16"
0.4941439963590653;"MDEC-33"
0.6059616942149451;"VP-4"
0.7031386388422093;"ETA_EtaP_F"
0.6015918433948002;"smr_VSA9"
0.653012943524234;"SP-0"
0.6200308385363662;"Chi0v"
0.6309594075193156;"avalon_fp575"
0.4915685495564473;"smr_VSA10"
0.4903776663940275;"AATS8v"
0.4968534768023083;"GATS1i"
0.6934403041445881;"HallKierAlpha"
0.48474136919153393;"SpMax6_Bhm"
0.5327525055268516;"SpDiam_Dt"
0.534411597161659;"nHaaCH"
0.534411597161659;"naaCH"
0.5362209379785556;"SpMax_Dt"
0.5128796761043335;"C3SP2"
0.6950413114259089;"AATS7p"
0.5342346813964479;"SaaCH"
0.6321375138156635;"SpMax8_Bhv"
0.6125557654828145;"SpMin1_Bhi"
0.5304340967133419;"SCH-7"
0.5649445185382561;"avalon_fp829"
0.4497371759224361;"SpMax5_Bhm"
0.4926219957018893;"AATS3p"
0.42991275045725985;"SpMax8_Bhp"
0.4971294688861875;"ETA_BetaP_ns"
0.6345329880547214;"fragC"
