Feature,Relative Importance
crippenlogp,0.0018709236399451917
pubchemfp341,0.0018708889218144033
avalon_fp254,0.00187040259497122
mqn33,0.0018684258785076145
rotbfrac,0.0018671379451027296
sch-3,0.0018647839740909115
maxhbint4,0.0018646175551309278
vr2_dzs,0.0018638670182055759
avalon_fp768,0.00186338362461584
aatsc3v,0.001860119791139475
asp-4,0.0018577020288684672
spmin2_bhi,0.0018551223208924609
mats1i,0.0018548702990941889
aats0i,0.0018547846447757841
minhother,0.0018532215595178359
mats1p,0.0018528327063775602
spmax4_bhm,0.0018527632026733975
mdec-22,0.001850547356248386
mats1v,0.0018500699250722605
mats8i,0.0018500152869397526
avalon_fp1005,0.0018487719916317452
maxdo,0.0018485659792985111
gats5v,0.0018319128023585628
spmin2_bhe,0.0018314338119167202
fractioncsp3,0.001809312959831603
maxwhba,0.0018059341837509326
vr1_dzm,0.0018031729886431144
aatsc1s,0.001801218278265105
pubchemfp259,0.0018000998792251106
naaac,0.001799552150136879
spmin1_bhe,0.001797310981431812
atsc1v,0.0017958144933827294
shdsch,0.0017910336076592654
mats6c,0.0017900777443182918
mats8c,0.0017862686407084493
gats8m,0.0017851406299795283
atsc1p,0.001784153008422382
fmf,0.0017811216740524216
asp-3,0.0017807891047193938
avalon_fp1018,0.001776640076951157
hmin,0.001771557723994248
avalon_fp202,0.001771344428432533
jgi8,0.0017672566453392608
avalon_fp801,0.001766024637803817
avalon_fp301,0.0017598886371307475
hybratio,0.0017586093928657186
jgi7,0.001757104384784657
avalon_fp473,0.0017545285859059312
mindssc,0.0017531551645660669
spmin1_bhs,0.0017508955769917059
ve1_d,0.0017474664322575735
aats2i,0.001745225510450841
spmax2_bhe,0.0017447780491791616
minwhba,0.001740719879309138
aatsc1p,0.0017395569115909917
maxscl,0.0017376258314608936
atsc5c,0.0017338477129058734
hallkieralpha,0.0017337992521989482
srw5,0.0017301754496660765
maxhother,0.001729867704859681
avalon_fp15,0.0017295313034789445
ve3_d,0.0017281366289525395
aatsc8p,0.0017280292776770225
ndsch,0.0017276258502066167
sp-3,0.0017159917219525375
n3ring,0.0017137441149995905
avalon_fp506,0.001712023416659189
asp-0,0.0017050597532516738
eta_betap_ns,0.0017024851277749977
spmax1_bhi,0.0016985364746733872
avalon_fp757,0.0016968047469330559
vr3_dze,0.0016957425807637722
eta_dbetap,0.0016909440817072098
eta_psi_1,0.001690203578632898
spc-4,0.0016879656066039466
