Feature,Relative Importance
spmax8_bhi,0.0015170548988540182
asp-3,0.0015096915506686698
pubchemfp564,0.001508987477068745
spmin2_bhe,0.0015051121953463195
ve1_d,0.001502100747154322
avalon_fp938,0.0014981696840207289
gats6c,0.0014907255414550063
mats1p,0.0014807767776050978
smr_vsa9,0.0014800432769543983
ats2e,0.0014784140376618872
vch-7,0.0014767184190046792
avalon_fp16,0.001474302619413239
atsc3c,0.001472374377974869
peoe_vsa9,0.001465428649610885
gats7i,0.0014593180924588876
vc-5,0.0014497342507579292
spmax8_bhp,0.0014491049320601518
aats1v,0.0014428644492276155
mats1i,0.0014412061117381563
avalon_fp339,0.0014408299811412234
numheavyatoms,0.0014389879677827403
